siteID,siteID,distance
ABR,ACA,654.059
ABR,ACN,558.537
ABR,ACT,620.926
ABR,AGC,236.362
ABR,AGT,208.216
ABR,ALC,322.823
ABR,ALH,300.485
ABR,ALM,330.197
ABR,ALR,319.836
ABR,ALS,240.374
ABR,ALV,560.237
ABR,AMC,573.261
ABR,AML,235.627
ABR,ANL,209.462
ABR,ARP,217.53
ABR,ATE,252.07
ABR,BCN,387.24
ABR,BJC,264.482
ABR,BKP,235.64
ABR,BLK,321.242
ABR,BLN,564.013
ABR,BME,234.531
ABR,BNN,231.13
ABR,BPK,301.166
ABR,CAB,196.239
ABR,CAY,338.253
ABR,CCA,398.233
ABR,CCB,559.424
ABR,CCN,216.086
ABR,CDZ,321.736
ABR,CHC,381.068
ABR,CHI,621.925
ABR,CHL,194.092
ABR,CHM,322.446
ABR,CHN,622.082
ABR,CHP,230.071
ABR,CHT,411.559
ABR,CHY,328.349
ABR,CKL,337.235
ABR,CKM,567.799
ABR,CLB,552.75
ABR,CLK,351.736
ABR,CML,587.54
ABR,CMT,376.356
ABR,CNB,563.86
ABR,CNC,167.531
ABR,CNJ,190.317
ABR,CNK,390.924
ABR,CNS,558.456
ABR,CNZ,235.62
ABR,COB,611.577
ABR,CPH,579.617
ABR,CPN,46.5557
ABR,CRC,186.13
ABR,CRN,328.383
ABR,CRO,256.385
ABR,CRZ,249.982
ABR,CTN,586.315
ABR,CZP,322.786
ABR,DBC,672.905
ABR,DBN,494.539
ABR,DCB,301.28
ABR,DPL,219.491
ABR,DZB,411.189
ABR,DZC,573.107
ABR,DZK,522.628
ABR,DZL,688.306
ABR,EDZ,523.267
ABR,EKB,656.064
ABR,ENC,255.824
ABR,FLD,323.403
ABR,FLS,236.607
ABR,HBM,570.765
ABR,HCH,490.756
ABR,HIG,10.5341
ABR,HLK,623.18
ABR,HLL,566.832
ABR,HLM,251.19
ABR,HLT,580.444
ABR,HNT,564.887
ABR,HNY,165.772
ABR,HRZ,283.74
ABR,HTZ,642.287
ABR,HUA,258.133
ABR,ICC,581.55
ABR,ICP,393.367
ABR,IKL,613.994
ABR,ITB,556.223
ABR,ITN,244.46
ABR,ITS,249.747
ABR,IXK,173.648
ABR,IXL,230.016
ABR,IXT,169.761
ABR,IXZ,166.918
ABR,JAI,596.593
ABR,JLN,452.163
ABR,JMB,260.601
ABR,JNT,488.546
ABR,JOY,300.528
ABR,JUL,279.742
ABR,KAB,580.328
ABR,KCB,592.189
ABR,KIN,296.768
ABR,KND,199.296
ABR,KPH,320.029
ABR,KUC,562.411
ABR,KYL,528.252
ABR,LAB,570.687
ABR,LAC,302.804
ABR,LAG,395.696
ABR,LAM,296.108
ABR,LBT,124.873
ABR,LGP,266.123
ABR,LOL,577.962
ABR,LPM,554.765
ABR,MAR,341.769
ABR,MCA,358.262
ABR,MCG,583.421
ABR,MCW,188.449
ABR,MLC,588.403
ABR,MLP,309.102
ABR,MLS,576.577
ABR,MNG,564.589
ABR,MPL,599.912
ABR,MPN,630.404
ABR,MQL,177.826
ABR,MRF,457.265
ABR,MRL,401.65
ABR,MTL,246.061
ABR,MTR,266.924
ABR,MXC,624.281
ABR,NAR,232.712
ABR,NAY,225.527
ABR,NCC,566.496
ABR,NCT,314.564
ABR,NKM,241.017
ABR,NMP,136.691
ABR,NPT,657.056
ABR,NTN,139.681
ABR,OAG,320.243
ABR,OXK,621.655
ABR,OXL,294.279
ABR,OXP,374.735
ABR,PAB,241.848
ABR,PAL,434.031
ABR,PAT,258.242
ABR,PBT,222.502
ABR,PBX,392.483
ABR,PCL,423.982
ABR,PCR,375.776
ABR,PIX,535.705
ABR,PJR,286.875
ABR,PLC,640.941
ABR,PLM,327.929
ABR,PMA,253.894
ABR,PMC,578.05
ABR,PMT,396.116
ABR,PNG,347.756
ABR,POL,239.063
ABR,PRU,293.176
ABR,PSD,321.649
ABR,PUS,118.931
ABR,PVR,353.862
ABR,QRG,32.1054
ABR,RAM,32.2686
ABR,RAZ,303.368
ABR,RBC,366.262
ABR,REJ,192.8
ABR,RFM,563.231
ABR,RNC,552.871
ABR,RSB,409.009
ABR,SAY,573.686
ABR,SBL,210.867
ABR,SBO,280.531
ABR,SBP,564.09
ABR,SBR,638.972
ABR,SCN,335.679
ABR,SCU,171.783
