code,siteID,time
5,AGC,87939
XE1b,AGC,87939
ZZ1,AGC,87939
1B1s,AGC,87939
14,AGC,87939
XG8,AGC,87939
XQB,AGC,87939
ZU1s,AGC,87939
HE6,AGC,87939
ZC1s,AGC,87939
33F,AGC,87939
32M,AGC,87939
3,AGC,87939
1,AGC,87939
XS1,AGC,87939
32M,AGC,87939
3,AGC,87939
XH2,AGC,87939
YM1a,AGC,87939
3M2s,AGC,87939
YG2s,AGC,87939
ZZ1,AGC,87939
3,AGC,87939
XH4b,AGC,87939
XQB,AGC,87939
2,AGC,87939
1B9,AGC,87939
HE6,AGC,87939
1S2s,AGC,87939
ZC1a,AGC,87939
1B9,AGC,87939
ZS8,AGC,87939
32M,AGC,87939
14,AGC,87939
33F,AGC,87939
XS1,AGC,87939
6,AGC,87939
32M,AGC,87939
1,AGC,87939
XH2,AGC,87939
YM1a,AGC,87939
3M2s,AGC,87939
YG2s,AGC,87939
ZZ1,AGC,87939
3,AGC,87939
XQ8,AGC,87939
ZM1s,AGC,87939
11,AGC,87939
ZCCa,AGC,87939
AMB,AGC,87939
ZU1s,AGC,87939
HE1,AGC,87939
1S2s,AGC,87939
1B9,AGC,87939
ZS8,AGC,87939
SSCa,AGC,87939
HE6,AGC,87939
ZM1s,AGC,87939
1BA,AGC,87939
AP7s,AGC,87939
XG8,AGC,87939
1G4a,AGC,87939
HT2,AGC,87939
AMCa,AGC,87939
MBA,AGC,87939
ZB1,AGC,87939
AMCa,AGC,87939
ZR5,AGC,87939
33F,AGC,87939
YM2s,AGC,87939
HE6,AGC,87939
ZBBa,AGC,87939
ZB1,AGC,87939
AMCa,AGC,87939
18,AGC,87939
32M,AGC,87939
33F,AGC,87939
XS1,AGC,87939
13,AGC,87939
32M,AGC,87939
3M2s,AGC,87939
YG2s,AGC,87939
ZZ1,AGC,87939
11,AGC,87939
AM1a,AGC,87939
18,AGC,87939
AA1s,AGC,87939
XE3,AGC,87939
18,AGC,87939
HE7,AGC,87939
XH2,AGC,87939
32A,AGC,87939
ZZ1,AGT,69939
2S2s,AGT,69939
XD1,AGT,69939
HE6,AGT,69939
33F,AGT,69939
MZS,AGT,69939
ZG1s,AGT,69939
HE6,AGT,69939
XQ3,AGT,69939
1S2s,AGT,69939
2S4,AGT,69939
AC6b,AGT,69939
AT1a,AGT,69939
YM1a,AGT,69939
3M2s,AGT,69939
YG2s,AGT,69939
11,AGT,69939
1S2s,AGT,69939
HE6,AGT,69939
3M1,AGT,69939
AM1b,AGT,69939
HE6,AGT,69939
XQ3,AGT,69939
1S2s,AGT,69939
2S4,AGT,69939
AT1a,AGT,69939
AMB,AGT,69939
ZB1,AGT,69939
1B1s,AGT,69939
AMCa,AGT,69939
ALH,AGT,69939
3M2a,AGT,69939
18,AGT,69939
1S2s,AGT,69939
