sitecode,LATITUDE,LONGITUDE
ABR,15.092542,-88.801631
ACA,20.937543,-89.495554
ACN,19.900933,-90.3254
ACT,20.574671,-89.918184
AGC,16.57995,-90.380163
AGT,16.3883,-90.20615
ALC,17.969117,-89.211006
ALH,17.759715,-88.348655
ALM,17.977355,-89.536365
ALR,17.928013,-89.305705
ALS,16.47268,-90.5307
ALV,18.5316,-92.648906
AMC,20.15094,-89.84676
AML,16.52015,-90.429203
ANL,16.505193,-90.096743
ARP,16.451331,-90.264143
ATE,17.080642,-89.935308
BCN,18.5165,-89.466167
BJC,17.282119,-89.769165
BKP,17.202625,-89.005658
BLK,17.882191,-89.585048
BLN,20.096746,-89.67092
BME,17.196759,-88.952263
BNN,17.148782,-89.118207
BPK,16.7045,-91.064833
CAB,16.834749,-89.094553
CAY,17.06436,-91.21246
CCA,17.320281,-91.722139
CCB,19.94627,-90.19037
CCN,17.019479,-89.063603
CDZ,17.854236,-89.701862
CHC,18.455037,-89.493101
CHI,20.58486,-89.9126
CHL,16.634663,-89.651773
CHM,17.914219,-89.499143
CHN,20.6828,-88.57221
CHP,17.145094,-89.073328
CHT,18.717331,-89.584
CHY,17.880808,-89.815708
CKL,16.09255,-91.77432
CKM,20.172556,-89.345263
CLB,19.87464,-90.22527
CLK,18.1045,-89.810333
CML,18.28007,-93.20184
CMT,16.23606,-92.11024
CNB,20.147225,-89.227124
CNC,16.0147,-90.03841
CNJ,16.060978,-90.266695
CNK,17.402017,-91.562849
CNS,19.88696,-90.37045
CNZ,17.17216,-89.22487
COB,20.487721,-87.678497
CPH,20.18501,-89.96977
CPN,14.834788,-89.143152
CRC,16.740425,-89.107395
CRN,17.524855,-90.546949
CRO,16.649711,-90.569569
CRZ,17.21927,-89.56046
CTN,20.24525,-89.97675
CZP,16.95522,-91.11824
DBC,21.096544,-89.598902
DBN,19.49345,-89.474264
DCB,16.867245,-90.931403
DPL,16.437125,-90.303325
DZB,18.784771,-88.587333
DZC,20.16845,-89.740317
DZK,19.65868,-89.9695
DZL,21.281431,-88.929931
EDZ,19.596661,-90.230111
EKB,20.935247,-87.937639
ENC,17.27698,-89.55353
FLD,17.22369,-90.86238
FLS,16.939869,-89.90035
HBM,20.05225,-90.18946
HCH,19.407751,-89.771688
HIG,15.145866,-88.72052
HLK,20.691244,-88.536215
HLL,20.07898,-89.91295
HLM,17.306167,-89.270833
HLT,20.1922,-89.97182
HNT,20.11699,-89.58903
HNY,15.481593,-90.293595
HRZ,17.60245,-89.2812
HTZ,20.806146,-89.693748
HUA,17.09626,-90.02181
ICC,20.20899,-89.93962
ICP,18.58996,-88.24577
IKL,20.614311,-88.814352
ITB,20.015743,-89.73094
ITN,16.582147,-90.482403
ITS,16.915581,-90.166531
IXK,16.53799,-89.41604
IXL,16.97821,-89.68657
IXT,16.508567,-89.39475
IXZ,16.446697,-89.474793
JAI,20.21168,-90.48823
JLN,17.359678,-92.317755
JMB,17.301961,-89.615759
JNT,18.096485,-92.147751
JOY,17.206108,-90.555443
JUL,17.291139,-90.075081
KAB,20.24884,-89.64861
KCB,20.417824,-88.733025
KIN,16.82749,-90.911093
KND,16.835555,-88.367379
KPH,17.954723,-88.486393
KUC,20.09945,-89.55337
KYL,19.66817,-90.14098
LAB,20.171183,-89.578717
LAC,16.683,-91.1
LAG,18.59089,-89.48293
LAM,17.751031,-88.640814
LBT,16.208579,-88.931412
LGP,17.077215,-90.193733
LOL,20.25252,-89.45827
LPM,17.17714,-93.52067
MAR,17.019,-91.29396
MCA,18.219492,-89.612303
MCG,20.29504,-89.51637
MCW,16.771156,-89.044372
MLC,20.320034,-89.664295
MLP,17.862519,-89.045406
MLS,20.22863,-89.54974
MNG,19.95532,-90.33417
MPL,20.487216,-88.876111
MPN,20.730068,-89.432504
MQL,16.31377,-89.87422
MRF,17.52636,-92.25571
MRL,17.801641,-91.293058
MTL,17.026209,-89.921387
MTR,17.205239,-89.988248
MXC,20.588997,-90.004267
NAR,17.13839,-89.26065
NAY,17.016167,-89.470667
NCC,20.157954,-89.373504
NCT,17.807332,-89.631186
NKM,17.180985,-89.405583
NMP,16.321637,-88.824558
NPT,20.957139,-89.562843
NTN,16.26636,-89.2663
OAG,17.940167,-89.250915
OXK,20.575333,-89.950416
OXL,16.494857,-91.134225
OXP,18.345151,-89.722727
PAB,16.47506,-90.54653
PAL,17.479682,-92.019356
PAT,16.672911,-90.571047
PBT,17.079422,-89.048717
PBX,18.621844,-88.747552
PCL,18.85083,-89.47447
PCR,18.435089,-89.321777
PIX,19.81505,-89.80102
PJR,17.130211,-90.448819
PLC,20.61854,-87.07812
PLM,18.012903,-89.230429
PMA,16.329043,-90.795724
PMC,20.11094,-90.22545
PMT,17.483889,-91.552742
PNG,17.14358,-91.25938
POL,16.823058,-90.128591
PRU,17.26605,-90.35578
PSD,17.005233,-91.05982
PUS,16.119164,-89.11318
PVR,17.18705,-91.29605
QRG,15.26866,-89.0387
RAM,14.883477,-89.009983
RAZ,17.78163,-89.28195
RBC,18.33961,-89.379477
REJ,16.787805,-89.180138
RFM,20.12192,-89.43328
RNC,20.03313,-89.38796
RSB,18.770839,-88.793969
SAY,20.188271,-89.649115
SBL,16.53175,-90.08511
SBO,17.548333,-89.403889
SBP,20.105633,-89.617333
SBR,20.701895,-90.113335
SCN,16.041099,-91.776763
SCU,16.559655,-89.304709
SDB,20.29654,-89.5987
SDC,16.91677,-90.46766
SDM,20.19192,-87.59915
SEP,16.558031,-91.800419
SIS,20.221919,-89.888819
SLM,18.382464,-89.547517
SNT,20.256321,-89.378914
SPD,20.239061,-89.976531
SRB,20.29767,-89.500542
SRC,18.402319,-88.395094
SRX,19.772567,-89.598767
SUF,17.340851,-89.305381
TAM,16.447239,-90.231028
TBI,20.293733,-89.544101
TCH,20.9617,-88.91696
TCK,19.775886,-89.875
TIK,17.21732,-89.63163
TLA,17.361931,-92.490539
TNA,16.886403,-92.038087
TNH,19.190915,-89.39851
TPN,17.135215,-88.829888
TPX,17.059518,-89.416186
TRC,17.3002,-89.533069
TRS,16.195903,-90.04851
TRT,17.632273,-92.457831
TUN,20.6925,-90.21619
TZC,20.20572,-89.97303
TZM,19.969483,-89.82075
TZN,16.415659,-88.819552
UAX,17.39795,-89.63775
UAY,20.714724,-88.319459
UCN,16.820278,-89.367222
UKM,20.502879,-89.310817
UOL,17.180117,-89.54987
UXB,16.240206,-89.068709
UXL,17.874986,-89.966617
UXM,20.361167,-89.77
UYM,20.38265,-90.46222
XBU,20.527551,-89.909593
XCA,19.990267,-90.148122
XCK,20.185033,-89.67555
XCL,20.19195,-89.827383
XCR,20.214392,-90.078244
XCS,20.581734,-89.937081
XKB,20.16472,-90.06603
XKM,19.888546,-89.525154
XLM,20.171083,-90.010233
XNC,20.297111,-89.681011
XNH,16.375271,-88.884354
XTB,19.981111,-89.535833
XTL,16.18167,-89.53725
XUL,17.491413,-89.371992
XUN,17.087695,-89.141127
XUP,17.392369,-91.931739
YAX,16.896167,-90.9675
YKL,20.184239,-89.497369
YLT,16.85435,-89.37645
YOK,19.927715,-88.537785
YTM,16.849378,-92.253495
YUL,20.616861,-88.570009
YXH,17.072733,-89.398233
YXL,20.12326,-89.71244
YXM,20.2431,-89.48587
YXP,20.75814,-89.703454
ZAP,17.02105,-89.64349
ZPT,16.987772,-89.660853
ZTZ,17.24475,-89.79578
